"","subject_id","ab_target","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1","subj_3","sn","FWR1",NA,NA,NA,NA
"2","subj_3","sn","CDR1",-0.0698787233573621,-0.113525673870102,-0.0388008847174458,-0.000155289048506702
"3","subj_3","sn","FWR2",-0.503626428257942,-0.54783790710772,-0.475198185257872,-2.09832151654155e-14
"4","subj_3","sn","CDR2",-0.0763943972906378,-0.118671094786249,-0.0473580476404548,-2.42948347297656e-05
"5","subj_3","sn","FWR3",-0.52303616393838,-0.552659883909637,-0.507864071862203,-2.65343302885412e-14
"6","subj_3","sp","FWR1",NA,NA,NA,NA
"7","subj_3","sp","CDR1",0.0920592728486116,0.0541176741114452,0.113749622118872,5.73126969997833e-09
"8","subj_3","sp","FWR2",-0.436983082489463,-0.480933589633628,-0.406440668817451,-2.80886425230165e-14
"9","subj_3","sp","CDR2",-0.421812513401521,-0.462090649517539,-0.396370526639946,-2.29816166097407e-14
"10","subj_3","sp","FWR3",-0.578898092586361,-0.607363004043228,-0.567090111207866,-4.91828799908944e-14
"11","subj_4","sn","FWR1",NA,NA,NA,NA
"12","subj_4","sn","CDR1",-0.0670010501837706,-0.102175221270852,-0.0463768088788548,-1.58852605069981e-05
"13","subj_4","sn","FWR2",-0.402835291796422,-0.437896639009403,-0.37934796299523,-1.82076576038526e-14
"14","subj_4","sn","CDR2",0.0597890001365688,0.0245054899998673,0.0818981222157868,2.26667037211496e-05
"15","subj_4","sn","FWR3",-0.543727417166147,-0.569980034528852,-0.529281455033499,-3.35287353436797e-14
"16","subj_4","sp","FWR1",NA,NA,NA,NA
"17","subj_4","sp","CDR1",0.0747741090862073,0.00854472571729179,0.130705899481834,0.0084649146430573
"18","subj_4","sp","FWR2",-0.105616850703861,-0.177988429594134,-0.0456131036484004,-0.00118113759571759
"19","subj_4","sp","CDR2",-0.415835925635754,-0.480053391498651,-0.364687381071349,-6.93889390390723e-14
"20","subj_4","sp","FWR3",-0.716647034645101,-0.759593123998735,-0.686941454350559,-1.86517468137026e-14
"21","subj_5","sn","FWR1",NA,NA,NA,NA
"22","subj_5","sn","CDR1",-0.123384787481924,-0.159189063400812,-0.0989897103206064,-4.68514116391816e-14
"23","subj_5","sn","FWR2",-0.474605853825823,-0.513200027369105,-0.448511539418367,-1.35447209004269e-13
"24","subj_5","sn","CDR2",-0.0578332118152631,-0.0901052664403302,-0.0378046115337418,-7.33014681523203e-05
"25","subj_5","sn","FWR3",-0.538161657131842,-0.566487982437085,-0.52747421783919,-2.55351295663786e-14
"26","subj_5","sp","FWR1",NA,NA,NA,NA
"27","subj_5","sp","CDR1",0.00684270752593204,-0.0343436284435492,0.0334234346592641,0.357609391110759
"28","subj_5","sp","FWR2",-0.472177635932839,-0.517415682816045,-0.438612646737612,-1.50990331349021e-14
"29","subj_5","sp","CDR2",0.0127344740792276,-0.0294228898482126,0.0423579315675568,0.256477079588942
"30","subj_5","sp","FWR3",-0.476082546672445,-0.508408091580182,-0.457939276340028,-2.89768209427166e-14
"31","subj_6","sn","FWR1",NA,NA,NA,NA
"32","subj_6","sn","CDR1",-0.119639052569218,-0.162918147446352,-0.0881979346124494,-5.25527954486904e-10
"33","subj_6","sn","FWR2",-0.473736040625641,-0.519633637090731,-0.438877234970061,-4.5852210917019e-14
"34","subj_6","sn","CDR2",-0.0392493371414994,-0.0829553143837096,-0.00819650438832613,-0.023739362349342
"35","subj_6","sn","FWR3",-0.59186012417498,-0.621599411154262,-0.576925379061398,-1.56541446472147e-14
"36","subj_6","sp","FWR1",NA,NA,NA,NA
"37","subj_6","sp","CDR1",0.0404583839051207,-0.00719719929579111,0.0736219638910182,0.0320558220255867
"38","subj_6","sp","FWR2",-0.468174813731963,-0.525440990632482,-0.425218642924044,-1.31006316905768e-14
"39","subj_6","sp","CDR2",0.188241346558995,0.139446004939888,0.223775011574416,3.62592687038217e-14
"40","subj_6","sp","FWR3",-0.0961433341408397,-0.135971184506531,-0.0687483958664559,-1.96763358939478e-08
"41","subj_7","sn","FWR1",NA,NA,NA,NA
"42","subj_7","sn","CDR1",-0.184885323624592,-0.226832605487268,-0.157036617678211,-3.06421554796543e-14
"43","subj_7","sn","FWR2",-0.384984914656388,-0.428670438134994,-0.355947996585449,-1.57651669496772e-14
"44","subj_7","sn","CDR2",0.187383121147708,0.144350752917109,0.214612552107431,8.15727275237387e-14
"45","subj_7","sn","FWR3",-0.562180304241437,-0.597463249657143,-0.539417545458865,-1.37112543541207e-13
"46","subj_7","sp","FWR1",NA,NA,NA,NA
"47","subj_7","sp","CDR1",-0.173284511145087,-0.27232187163966,-0.0855521172830779,-0.00017798799737434
"48","subj_7","sp","FWR2",-0.351582197397512,-0.487927254520338,-0.225543158396348,-1.21097397887127e-07
"49","subj_7","sp","CDR2",-0.171647092261692,-0.279640138965849,-0.0745034729054448,-0.00068074497417403
"50","subj_7","sp","FWR3",-0.577039301648144,-0.649081412897056,-0.516395415032834,-1.17683640610267e-14
