"","time_point","ab_target","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",4,"sn","FWR1",NA,NA,NA,NA
"2",4,"sn","CDR1",-0.196732164915397,-0.295056783997317,-0.108454294395627,-2.56853679051483e-05
"3",4,"sn","FWR2",-0.328249023978975,-0.440324610529486,-0.226057618199643,-2.73761724400856e-09
"4",4,"sn","CDR2",-0.330816147308491,-0.421001791002396,-0.249976849359789,-1.01474384450739e-13
"5",4,"sn","FWR3",-0.596005715906518,-0.658429620176402,-0.546562420132582,-1.48769885299771e-14
"6",1,"sp","FWR1",NA,NA,NA,NA
"7",1,"sp","CDR1",0.478112075161736,0.387945337039792,0.556280837599713,1.52064355384781e-14
"8",1,"sp","FWR2",-0.527039009501068,-0.636572085853361,-0.427835991941339,-5.21804821573824e-15
"9",1,"sp","CDR2",-0.088534527900601,-0.16592502947298,-0.024145139276709,-0.0089919756477489
"10",1,"sp","FWR3",-0.261128293429879,-0.317891492276185,-0.216564016313606,-6.21724893790088e-15
"11",1,"sn","FWR1",NA,NA,NA,NA
"12",1,"sn","CDR1",-0.105976486269919,-0.207976557309797,-0.0148711274780832,-0.0174715839703684
"13",1,"sn","FWR2",-0.308109121010084,-0.426820414197839,-0.198851355736362,-1.10581385159847e-07
"14",1,"sn","CDR2",-0.18471054906674,-0.279513825646111,-0.09919117997803,-4.53512880153051e-05
"15",1,"sn","FWR3",-0.469175713741911,-0.53391297086242,-0.416682769018615,-2.42028619368284e-14
"16",2,"sn","FWR1",NA,NA,NA,NA
"17",2,"sn","CDR1",-0.183119714809182,-0.283044498386137,-0.0945746495389117,-0.000103936087929135
"18",2,"sn","FWR2",-0.387517543705125,-0.506588921847694,-0.27814009961327,-4.61984894783996e-11
"19",2,"sn","CDR2",-0.192389771784231,-0.287283373751121,-0.107907936692721,-1.99464342522937e-05
"20",2,"sn","FWR3",-0.578251111312867,-0.640566917283439,-0.527431802321226,-1.33226762955019e-14
"21",2,"sp","FWR1",NA,NA,NA,NA
"22",2,"sp","CDR1",-0.0765493355449539,-0.157076827307059,-0.00682912722233964,-0.0251060427315012
"23",2,"sp","FWR2",-0.888984006433941,-0.985278553868134,-0.805017799783286,-5.77315972805081e-15
"24",2,"sp","CDR2",-0.414149818308355,-0.491939548623026,-0.34733804057483,-1.60982338570648e-14
"25",2,"sp","FWR3",-0.34814434996553,-0.399912178113448,-0.307345762907749,-1.0547118733939e-14
"26",4,"sp","FWR1",NA,NA,NA,NA
"27",4,"sp","CDR1",0.267793218645494,0.151668007560684,0.374215750212138,7.96678608265176e-07
"28",4,"sp","FWR2",0.108997471694142,-0.0370775116274836,0.245358700860435,0.0654341848037598
"29",4,"sp","CDR2",-0.521157545238049,-0.643437469317126,-0.408114617118615,-4.55191440096314e-15
"30",4,"sp","FWR3",-0.540611926997487,-0.617050615617574,-0.475808160380877,-1.86517468137026e-14
