"","subject_id","ab_target","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",3,"Non-Spike B","FWR1",NA,NA,NA,NA
"2",3,"Non-Spike B","CDR1",-0.0763588876807446,-0.124836539834539,-0.039440604825731,-0.000212037640217155
"3",3,"Non-Spike B","FWR2",-0.468720027615811,-0.517217503714058,-0.435557936996272,-9.76996261670138e-15
"4",3,"Non-Spike B","CDR2",-0.069906650452135,-0.114639022897956,-0.0376618763103892,-0.000376755473322943
"5",3,"Non-Spike B","FWR3",-0.526637230138862,-0.558849466964158,-0.508104098190904,-1.46549439250521e-14
"6",3,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"7",3,"Spike+ Mem B","CDR1",-0.0522246901064156,-0.176015958683505,0.0622419297846177,-0.195764710428122
"8",3,"Spike+ Mem B","FWR2",-0.518872527302595,-0.662978119977101,-0.385324266496866,-5.53779244683028e-13
"9",3,"Spike+ Mem B","CDR2",-0.376897160800263,-0.492261619569046,-0.272960037420323,-4.70972150168336e-11
"10",3,"Spike+ Mem B","FWR3",-0.924833472329774,-0.997291298721343,-0.865288315039235,-5.95079541199084e-14
"11",4,"Non-Spike B","FWR1",NA,NA,NA,NA
"12",4,"Non-Spike B","CDR1",-0.0974972259598309,-0.142668495895819,-0.0662789394072305,-1.7126885870633e-06
"13",4,"Non-Spike B","FWR2",-0.418771313152275,-0.46353023945209,-0.387274203830787,-2.29816166097407e-14
"14",4,"Non-Spike B","CDR2",-0.00264970015052643,-0.0442922656384684,0.0237012101357323,-0.443335922034317
"15",4,"Non-Spike B","FWR3",-0.615791745127439,-0.646271619566919,-0.599227145062482,-5.07371922253697e-14
"16",4,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"17",4,"Spike+ Mem B","CDR1",0.287948288848057,0.0713265935488926,0.498445882194494,0.00362948833284465
"18",4,"Spike+ Mem B","FWR2",-0.192747096800202,-0.420242512213619,0.0269329356264987,-0.0469293519560199
"19",4,"Spike+ Mem B","CDR2",-0.267779797968388,-0.474583761919305,-0.0680364438551307,-0.00545286378287568
"20",4,"Spike+ Mem B","FWR3",-0.909448567198059,-1.02591470713467,-0.80485581193791,-2.38697950294409e-14
"21",5,"Non-Spike B","FWR1",NA,NA,NA,NA
"22",5,"Non-Spike B","CDR1",-0.115446822301278,-0.156351977570695,-0.0878980316919678,-6.53548326567943e-11
"23",5,"Non-Spike B","FWR2",-0.471779076711705,-0.516282741377327,-0.43902158516577,-2.59792187762287e-14
"24",5,"Non-Spike B","CDR2",-0.0683409332199798,-0.107803687256267,-0.0397423101803421,-4.17699456290999e-05
"25",5,"Non-Spike B","FWR3",-0.543265267849452,-0.574598347093971,-0.527038883016632,-3.36397576461422e-14
"26",5,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"27",5,"Spike+ Mem B","CDR1",-0.0643599419525327,-0.15114136563975,0.0123754316000134,-0.0640759344683062
"28",5,"Spike+ Mem B","FWR2",-0.488502408446084,-0.584413373247912,-0.404639432604141,-1.48769885299771e-14
"29",5,"Spike+ Mem B","CDR2",-0.0537648435243987,-0.1374787728858,0.0165180328041071,-0.091450085569223
"30",5,"Spike+ Mem B","FWR3",-0.680369321334458,-0.731534256088246,-0.639498345902944,-6.78346268045971e-14
"31",6,"Non-Spike B","FWR1",NA,NA,NA,NA
"32",6,"Non-Spike B","CDR1",-0.15395106820977,-0.207056701212285,-0.115475355253773,-2.76995870684971e-10
"33",6,"Non-Spike B","FWR2",-0.525116708832909,-0.58342152090965,-0.478652744627095,-1.98729921407903e-14
"34",6,"Non-Spike B","CDR2",-0.056122118499018,-0.106445676015496,-0.0180658582156645,-0.00775398667475902
"35",6,"Non-Spike B","FWR3",-0.609335073730645,-0.646151331388877,-0.587427289965616,-2.34257058195908e-14
"36",6,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"37",6,"Spike+ Mem B","CDR1",0.0555406173464978,-0.151575890624666,0.255701896430051,0.298625772948114
"38",6,"Spike+ Mem B","FWR2",-0.658985698376538,-0.916407317912932,-0.409126983686263,-3.50719782771236e-07
"39",6,"Spike+ Mem B","CDR2",0.182393658548278,-0.038388729139001,0.39700366887029,0.0493804696650668
"40",6,"Spike+ Mem B","FWR3",-0.663897031981436,-0.804629780545047,-0.533921062916895,-1.17683640610267e-14
"41",7,"Non-Spike B","FWR1",NA,NA,NA,NA
"42",7,"Non-Spike B","CDR1",-0.184769403367738,-0.259112370557088,-0.123997760312067,-1.7688799358595e-07
"43",7,"Non-Spike B","FWR2",-0.498996064290875,-0.574442982163486,-0.43591439211814,-2.74225087082414e-14
"44",7,"Non-Spike B","CDR2",0.0613006963844097,-0.00664979327696494,0.115283659028157,0.028274889218605
"45",7,"Non-Spike B","FWR3",-0.712734183250478,-0.75834762414157,-0.678433837603296,-2.59792187762287e-14
"46",7,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"47",7,"Spike+ Mem B","CDR1",-0.0441755949399536,-0.410569859927235,0.327248441613372,-0.4017056039291
"48",7,"Spike+ Mem B","FWR2",-0.637369168919763,-1.09259104907565,-0.184902902092003,-0.00343504206563527
"49",7,"Spike+ Mem B","CDR2",-0.218702425756462,-0.60379848288142,0.167634255137746,-0.133380124216063
"50",7,"Spike+ Mem B","FWR3",-0.987283981525387,-1.22338872195747,-0.763029576159257,-1.17683640610267e-14
