"","subject_id","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",3,"FWR1",NA,NA,NA,NA
"2",3,"CDR1",-0.0288028077413762,-0.0950479419169237,0.0244420366640728,-0.178815270096491
"3",3,"FWR2",-0.487349693228103,-0.557380386892061,-0.428436613120167,-1.01030295240889e-14
"4",3,"CDR2",-0.0977849830413531,-0.160924354501045,-0.0467097192853869,-0.000521483529788869
"5",3,"FWR3",-0.510972248267476,-0.555528095519806,-0.47849458943517,-3.1863400806742e-14
"6",4,"FWR1",NA,NA,NA,NA
"7",4,"CDR1",-0.0499795738490323,-0.109817964292556,8.47890578704387e-05,-0.0399088140196764
"8",4,"FWR2",-0.414006560721274,-0.475792801203898,-0.365635287427214,-3.25295346215171e-14
"9",4,"CDR2",0.0173495942445828,-0.0384464278051171,0.0619215329940386,0.255033943804527
"10",4,"FWR3",-0.59909512101654,-0.638948839517565,-0.575316750854901,-2.8421709430404e-14
"11",5,"FWR1",NA,NA,NA,NA
"12",5,"CDR1",-0.141302250419352,-0.204829536988698,-0.0890889146810018,-9.8975826645642e-07
"13",5,"FWR2",-0.423996493533141,-0.489599187009476,-0.368910880154432,-1.23234755733392e-14
"14",5,"CDR2",-0.0605827207816806,-0.119818004076786,-0.0148940006120184,-0.0159229134639414
"15",5,"FWR3",-0.571191858792086,-0.615997337920612,-0.538706550525159,-1.73194791841524e-14
"16",6,"FWR1",NA,NA,NA,NA
"17",6,"CDR1",-0.213290274419965,-0.299594012137612,-0.137356302451006,-2.91915973393841e-07
"18",6,"FWR2",-0.466929799592509,-0.558873126862736,-0.386140100369067,-7.105427357601e-15
"19",6,"CDR2",-0.0587978743312411,-0.138128627260163,0.010406405818171,-0.0617936020971023
"20",6,"FWR3",-0.574273482756242,-0.630180676708737,-0.529075076902034,-3.54161144855425e-14
"21",7,"FWR1",NA,NA,NA,NA
"22",7,"CDR1",-0.10294867603452,-0.28012057805276,0.0664006501598308,-0.123673181833342
"23",7,"FWR2",-0.534605221062318,-0.717352360461831,-0.361963326913164,-6.18529771845289e-09
"24",7,"CDR2",0.013280542629448,-0.14576460349852,0.164477968319947,0.436413174619453
"25",7,"FWR3",-0.685935282370092,-0.787720341294014,-0.595311200129044,-1.0325074129014e-14
