"","subject_id","ab_target","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",3,"Non-Spike B","FWR1",NA,NA,NA,NA
"2",3,"Non-Spike B","CDR1",-0.0614522474092991,-0.12872310639836,-0.00622696375671042,-0.0281729007115556
"3",3,"Non-Spike B","FWR2",-0.491202966194407,-0.562621182914579,-0.429767484192088,-2.04281036531029e-14
"4",3,"Non-Spike B","CDR2",-0.0616609279209332,-0.126776102258086,-0.00811465867100645,-0.022456395941487
"5",3,"Non-Spike B","FWR3",-0.481152997960537,-0.523123392645268,-0.449786049834778,-3.06421554796543e-14
"6",3,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"7",3,"Spike+ Mem B","CDR1",0.414905567952873,0.182026794184141,0.645697670217939,0.00013016718812349
"8",3,"Spike+ Mem B","FWR2",-0.431920876727745,-0.704055469870872,-0.165700832843668,-0.00103408200018151
"9",3,"Spike+ Mem B","CDR2",-0.590325336078759,-0.807628106610806,-0.377653076038321,-1.80018470574694e-07
"10",3,"Spike+ Mem B","FWR3",-0.858321425219212,-0.991668758582709,-0.736568727345691,-6.66133814775094e-15
"11",4,"Non-Spike B","FWR1",NA,NA,NA,NA
"12",4,"Non-Spike B","CDR1",-0.0703997019173601,-0.131474507198988,-0.0197893714290839,-0.00745328377525578
"13",4,"Non-Spike B","FWR2",-0.416509249877883,-0.47921280708094,-0.366061668903026,-4.57411886145564e-14
"14",4,"Non-Spike B","CDR2",0.0270258269700183,-0.0297244966062676,0.0722054546044191,0.156929622045923
"15",4,"Non-Spike B","FWR3",-0.588906754319597,-0.62796945990339,-0.565783632010506,-6.89448498292222e-14
"16",4,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"17",4,"Spike+ Mem B","CDR1",0.358792515273427,0.0685619196132292,0.647998285265635,0.0065375233153976
"18",4,"Spike+ Mem B","FWR2",-0.357436226907446,-0.664977447889925,-0.0555705388063485,-0.0115308633878755
"19",4,"Spike+ Mem B","CDR2",-0.230445018252195,-0.498920827383001,0.0341638330178598,-0.0467181932301528
"20",4,"Spike+ Mem B","FWR3",-0.830512729639992,-0.993948550624312,-0.677379392332439,-2.55351295663786e-15
"21",5,"Non-Spike B","FWR1",NA,NA,NA,NA
"22",5,"Non-Spike B","CDR1",-0.111354242259514,-0.175866865951027,-0.0581391144093061,-0.000144717042945941
"23",5,"Non-Spike B","FWR2",-0.464916401287827,-0.530998714062992,-0.408969548953078,-9.2148511043888e-15
"24",5,"Non-Spike B","CDR2",-0.0671717809100897,-0.12946698848024,-0.0168797647147249,-0.0115494812905681
"25",5,"Non-Spike B","FWR3",-0.544171326235209,-0.587944898714533,-0.515805992757183,-1.82076576038526e-14
"26",5,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"27",5,"Spike+ Mem B","CDR1",-0.415468939021164,-0.605673266981695,-0.233330988031176,-1.15835822832588e-05
"28",5,"Spike+ Mem B","FWR2",0.0274380521839805,-0.197608942339379,0.246605601969752,0.40754809608683
"29",5,"Spike+ Mem B","CDR2",0.00935564411162439,-0.177143289233375,0.188184500489756,0.463359653249154
"30",5,"Spike+ Mem B","FWR3",-0.808741924339632,-0.923939048710619,-0.705016021609095,-8.65973959207622e-15
"31",6,"Non-Spike B","FWR1",NA,NA,NA,NA
"32",6,"Non-Spike B","CDR1",-0.217682341411845,-0.306300294366384,-0.138939812655403,-2.3988495312377e-07
"33",6,"Non-Spike B","FWR2",-0.477038280417032,-0.569703666490064,-0.39548691438087,-1.73194791841524e-14
"34",6,"Non-Spike B","CDR2",-0.0387169303147648,-0.119252597373081,0.0317349484404132,-0.160218676057876
"35",6,"Non-Spike B","FWR3",-0.588126274618248,-0.642985058100375,-0.546514753051088,-2.14273043752655e-14
"36",6,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"37",6,"Spike+ Mem B","CDR1",-0.0788195494216219,-0.577667839631547,0.42759111510182,-0.374349144276037
"38",6,"Spike+ Mem B","FWR2",-0.146473718756734,-0.764836220510098,0.486057231489332,-0.318468075954344
"39",6,"Spike+ Mem B","CDR2",-0.67054985002242,-1.07909074520952,-0.259622385114174,-0.0010225466609306
"40",6,"Spike+ Mem B","FWR3",-0.251758440259716,-0.59363548146472,0.0914253754628118,-0.0761661511209855
"41",7,"Non-Spike B","FWR1",NA,NA,NA,NA
"42",7,"Non-Spike B","CDR1",-0.0979169987366938,-0.276475843496,0.0732784061099319,-0.136888963904619
"43",7,"Non-Spike B","FWR2",-0.534478151711124,-0.717877952594399,-0.359343856508455,-6.85971102143412e-09
"44",7,"Non-Spike B","CDR2",0.0148656724183267,-0.144717815990776,0.166111220965167,0.428793013427654
"45",7,"Non-Spike B","FWR3",-0.685299307799986,-0.787498810249165,-0.594728930578738,-1.22124532708767e-14
"46",7,"Spike+ Mem B","FWR1",NA,NA,NA,NA
"47",7,"Spike+ Mem B","CDR1",-1.37035184252606,-2.37632680153394,-0.382880283394867,-0.00387480969699805
"48",7,"Spike+ Mem B","FWR2",-0.553531421126689,-1.27435927411987,0.187018804957692,-0.0701020919649519
"49",7,"Spike+ Mem B","CDR2",-0.423065050164788,-1.25578989765209,0.451218345887382,-0.162456085417376
"50",7,"Spike+ Mem B","FWR3",-0.913435482180732,-1.44257330272788,-0.387257829634662,-0.000469713382614478
