"","subject_id","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1",3,"FWR1",NA,NA,NA,NA
"2",3,"CDR1",-0.102963553952449,-0.175802106667274,-0.0440958787107762,-0.00154483920776216
"3",3,"FWR2",-0.419527012015488,-0.498510833014881,-0.353987687688922,-1.58761892521397e-14
"4",3,"CDR2",-0.0795223989331662,-0.148143803839496,-0.0246382053621926,-0.00743429984761035
"5",3,"FWR3",-0.627370133937091,-0.674065586307161,-0.595560709632904,-9.54791801177635e-15
"6",4,"FWR1",NA,NA,NA,NA
"7",4,"CDR1",-0.10555468236249,-0.173535911607652,-0.0485882667560135,-0.000514336211124622
"8",4,"FWR2",-0.413380483456794,-0.479305052188118,-0.358411518337771,-1.11022302462516e-14
"9",4,"CDR2",-0.0468717137812769,-0.105976593118108,0.00120382835375769,-0.0459577935750598
"10",4,"FWR3",-0.688082151554103,-0.730986007970754,-0.65790604686543,-2.24265050974282e-14
"11",5,"FWR1",NA,NA,NA,NA
"12",5,"CDR1",-0.0594735001758208,-0.120446279188887,-0.00881078705220506,-0.020638485560692
"13",5,"FWR2",-0.497547863934736,-0.561295111944939,-0.446166460321968,-1.35447209004269e-14
"14",5,"CDR2",-0.0537445644120558,-0.113899256452714,-0.00658018586667577,-0.0282392021473836
"15",5,"FWR3",-0.551346980859702,-0.593758201274252,-0.525154917898855,-2.37587727269783e-14
"16",6,"FWR1",NA,NA,NA,NA
"17",6,"CDR1",-0.159253030003372,-0.251644519023026,-0.0771015007482808,-0.000225690768377307
"18",6,"FWR2",-0.490987962365883,-0.588120753530728,-0.405376841548579,-3.99680288865056e-15
"19",6,"CDR2",0.00497881463514426,-0.0829366326307824,0.082448511803143,0.454753401300782
"20",6,"FWR3",-0.742628146408363,-0.798846392481088,-0.697733267262246,-3.61932706027801e-14
"21",7,"FWR1",NA,NA,NA,NA
"22",7,"CDR1",-0.121575658407285,-0.218260673748417,-0.0356790497053232,-0.00529797275988186
"23",7,"FWR2",-0.50970389168115,-0.610192807926737,-0.418894617835782,-1.0813572259849e-13
"24",7,"CDR2",0.00480390362744656,-0.0839250280347723,0.0828713361349082,0.456900436034434
"25",7,"FWR3",-0.589721278325437,-0.64796065584303,-0.545340574817682,-1.25455201782643e-14
