,subject_id,time_point,region,baseline_sigma,baseline_ci_lower,baseline_ci_upper,baseline_ci_pvalue
1,3,1,FWR1,,,,
2,3,1,CDR1,-0.0288028077413762,-0.0950479419169237,0.0244420366640728,-0.178815270096491
3,3,1,FWR2,-0.487349693228103,-0.557380386892061,-0.428436613120167,-1.0103029524088901e-14
4,3,1,CDR2,-0.0977849830413531,-0.160924354501045,-0.0467097192853869,-0.0005214835297888
5,3,1,FWR3,-0.510972248267476,-0.555528095519806,-0.47849458943517,-3.1863400806742e-14
6,4,1,FWR1,,,,
7,4,1,CDR1,-0.0499795738490323,-0.109817964292556,8.47890578704387e-05,-0.0399088140196764
8,4,1,FWR2,-0.414006560721274,-0.475792801203898,-0.365635287427214,-3.25295346215171e-14
9,4,1,CDR2,0.0173495942445828,-0.0384464278051171,0.0619215329940386,0.255033943804527
10,4,1,FWR3,-0.59909512101654,-0.638948839517565,-0.575316750854901,-2.8421709430404e-14
11,5,1,FWR1,,,,
12,5,1,CDR1,-0.141302250419352,-0.204829536988698,-0.0890889146810018,-9.8975826645642e-07
13,5,1,FWR2,-0.423996493533141,-0.489599187009476,-0.368910880154432,-1.23234755733392e-14
14,5,1,CDR2,-0.0605827207816806,-0.119818004076786,-0.0148940006120184,-0.0159229134639414
15,5,1,FWR3,-0.571191858792086,-0.615997337920612,-0.538706550525159,-1.73194791841524e-14
16,6,1,FWR1,,,,
17,6,1,CDR1,-0.213290274419965,-0.299594012137612,-0.137356302451006,-2.91915973393841e-07
18,6,1,FWR2,-0.466929799592509,-0.558873126862736,-0.386140100369067,-7.105427357601e-15
19,6,1,CDR2,-0.0587978743312411,-0.138128627260163,0.010406405818171,-0.0617936020971023
20,6,1,FWR3,-0.574273482756242,-0.630180676708737,-0.529075076902034,-3.54161144855425e-14
21,7,1,FWR1,,,,
22,7,1,CDR1,-0.10294867603452,-0.28012057805276,0.0664006501598308,-0.123673181833342
23,7,1,FWR2,-0.534605221062318,-0.717352360461831,-0.361963326913164,-6.185297718452891e-09
24,7,1,CDR2,0.013280542629448,-0.14576460349852,0.164477968319947,0.436413174619453
25,7,1,FWR3,-0.685935282370092,-0.787720341294014,-0.595311200129044,-1.0325074129014e-14
1,3,2,FWR1,,,,
2,3,2,CDR1,-0.102963553952449,-0.175802106667274,-0.0440958787107762,-0.0015448392077621
3,3,2,FWR2,-0.419527012015488,-0.498510833014881,-0.353987687688922,-1.58761892521397e-14
4,3,2,CDR2,-0.0795223989331662,-0.148143803839496,-0.0246382053621926,-0.0074342998476103
5,3,2,FWR3,-0.627370133937091,-0.674065586307161,-0.595560709632904,-9.547918011776351e-15
6,4,2,FWR1,,,,
7,4,2,CDR1,-0.10555468236249,-0.173535911607652,-0.0485882667560135,-0.0005143362111246
8,4,2,FWR2,-0.413380483456794,-0.479305052188118,-0.358411518337771,-1.11022302462516e-14
9,4,2,CDR2,-0.0468717137812769,-0.105976593118108,0.0012038283537576,-0.0459577935750598
10,4,2,FWR3,-0.688082151554103,-0.730986007970754,-0.65790604686543,-2.24265050974282e-14
11,5,2,FWR1,,,,
12,5,2,CDR1,-0.0594735001758208,-0.120446279188887,-0.008810787052205,-0.020638485560692
13,5,2,FWR2,-0.497547863934736,-0.561295111944939,-0.446166460321968,-1.35447209004269e-14
14,5,2,CDR2,-0.0537445644120558,-0.113899256452714,-0.0065801858666757,-0.0282392021473836
15,5,2,FWR3,-0.551346980859702,-0.593758201274252,-0.525154917898855,-2.37587727269783e-14
16,6,2,FWR1,,,,
17,6,2,CDR1,-0.159253030003372,-0.251644519023026,-0.0771015007482808,-0.0002256907683773
18,6,2,FWR2,-0.490987962365883,-0.588120753530728,-0.405376841548579,-3.99680288865056e-15
19,6,2,CDR2,0.0049788146351442,-0.0829366326307824,0.082448511803143,0.454753401300782
20,6,2,FWR3,-0.742628146408363,-0.798846392481088,-0.697733267262246,-3.6193270602780103e-14
21,7,2,FWR1,,,,
22,7,2,CDR1,-0.121575658407285,-0.218260673748417,-0.0356790497053232,-0.0052979727598818
23,7,2,FWR2,-0.50970389168115,-0.610192807926737,-0.418894617835782,-1.0813572259849e-13
24,7,2,CDR2,0.0048039036274465,-0.0839250280347723,0.0828713361349082,0.456900436034434
25,7,2,FWR3,-0.589721278325437,-0.64796065584303,-0.545340574817682,-1.25455201782643e-14
1,3,4,FWR1,,,,
2,3,4,CDR1,-0.103834563044727,-0.176199908410064,-0.0446827975927486,-0.0014215180963007
3,3,4,FWR2,-0.507197314788798,-0.585350587111931,-0.439779810697591,-1.8429702208777602e-14
4,3,4,CDR2,-0.125357553684667,-0.193361388805554,-0.0683029989382486,-5.32224064058173e-05
5,3,4,FWR3,-0.595050830333886,-0.643123845127507,-0.55852273544302,-1.45439216225896e-14
6,4,4,FWR1,,,,
7,4,4,CDR1,-0.109606527159543,-0.191758311911382,-0.0378218368659058,-0.0031245460168315
8,4,4,FWR2,-0.396391450862791,-0.480754860707084,-0.324415416153628,-9.214851104388801e-15
9,4,4,CDR2,-0.0100690811382654,-0.0844673542131991,0.0529706562553499,-0.387295728376898
10,4,4,FWR3,-0.569235392605954,-0.619675260870489,-0.529386945103436,-1.21014309684142e-14
11,5,4,FWR1,,,,
12,5,4,CDR1,-0.118885813407305,-0.173517399994517,-0.0769949730061926,-1.54191980106244e-06
13,5,4,FWR2,-0.492640974565483,-0.552104407638142,-0.445999338101121,-1.0103029524088901e-14
14,5,4,CDR2,-0.0789991970309468,-0.130778437795307,-0.0380963346526173,-0.0006660176153359
15,5,4,FWR3,-0.57323505164937,-0.610045760458459,-0.547977914574584,-1.43218770176645e-14
16,6,4,FWR1,,,,
17,6,4,CDR1,-0.0631765608201486,-0.140616438255979,0.003002598582538,-0.0449726600022133
18,6,4,FWR2,-0.620444459726975,-0.699566185305677,-0.554358280670671,-2.97539770599542e-14
19,6,4,CDR2,-0.0698546067538589,-0.139688255897907,-0.0095584968136095,-0.0193460316809498
20,6,4,FWR3,-0.528704948888823,-0.577217429608045,-0.495152471630519,-2.43138842392909e-14
21,7,4,FWR1,,,,
22,7,4,CDR1,-0.301731051921542,-0.426231824685594,-0.187002884829857,-6.75790590820569e-07
23,7,4,FWR2,-0.479431747924161,-0.604019990253328,-0.365481951900006,-1.56541446472147e-14
24,7,4,CDR2,0.142063472655762,0.0311735136595698,0.243420755891033,0.0042202304684765
25,7,4,FWR3,-0.910574612734683,-0.979421609459814,-0.855335152639749,-1.50990331349021e-14
