"","time_point","ab_target","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1","1 baseline","Non-Spike B","FWR1",NA,NA,NA,NA
"2","1 baseline","Non-Spike B","CDR1",-0.101689861971908,-0.140175272059309,-0.0766360944916893,-2.47912512740811e-09
"3","1 baseline","Non-Spike B","FWR2",-0.462014501375932,-0.502746912720686,-0.436160253457803,-1.92068583260152e-14
"4","1 baseline","Non-Spike B","CDR2",-0.028512058478642,-0.0656257175847405,-0.00693161551517686,-0.0398441255109725
"5","1 baseline","Non-Spike B","FWR3",-0.557024602871737,-0.58844764161509,-0.538833239346344,-2.32036612146658e-14
"6","2 weeks","Non-Spike B","FWR1",NA,NA,NA,NA
"7","2 weeks","Non-Spike B","CDR1",-0.104312854596525,-0.147644649059946,-0.0761771118804871,-2.3304791096912e-08
"8","2 weeks","Non-Spike B","FWR2",-0.455970183175717,-0.498156676518899,-0.427196833309676,-2.26485497023532e-14
"9","2 weeks","Non-Spike B","CDR2",-0.0325639331087104,-0.0703066198688956,-0.00779800133382074,-0.0287723658929337
"10","2 weeks","Non-Spike B","FWR3",-0.606763319088526,-0.634516533478292,-0.596557727305593,-2.57571741713036e-14
"11","4 weeks","Non-Spike B","FWR1",NA,NA,NA,NA
"12","4 weeks","Non-Spike B","CDR1",-0.136690149684523,-0.177017030978217,-0.108682120963755,-8.68194405256872e-14
"13","4 weeks","Non-Spike B","FWR2",-0.483179601466954,-0.526477898780646,-0.455578625962548,-6.99440505513849e-14
"14","4 weeks","Non-Spike B","CDR2",-0.0557118368742052,-0.0925806591715128,-0.0297304646279451,-0.000456687769135988
"15","4 weeks","Non-Spike B","FWR3",-0.590524007418602,-0.61869503880529,-0.577567253383907,-1.92068583260152e-14
"16","1 baseline","Spike+ Mem B","FWR1",NA,NA,NA,NA
"17","1 baseline","Spike+ Mem B","CDR1",-0.00298038801013776,-0.134086109675987,0.117369116206453,-0.479614730656083
"18","1 baseline","Spike+ Mem B","FWR2",-0.204257088972093,-0.354960092523048,-0.0637871901524217,-0.00338700222323385
"19","1 baseline","Spike+ Mem B","CDR2",-0.258927503466237,-0.382418061097136,-0.145297628830461,-1.58315953282528e-05
"20","1 baseline","Spike+ Mem B","FWR3",-0.78274424573705,-0.863092237969781,-0.715155266075778,-1.25455201782643e-14
"21","2 weeks","Spike+ Mem B","FWR1",NA,NA,NA,NA
"22","2 weeks","Spike+ Mem B","CDR1",-0.0458091240902834,-0.15881344272738,0.0561418321179128,-0.204283459852488
"23","2 weeks","Spike+ Mem B","FWR2",-0.480186810638075,-0.606590778154273,-0.364734487316017,-6.36157793110215e-14
"24","2 weeks","Spike+ Mem B","CDR2",-0.135313608007181,-0.244950447749063,-0.0364463198876072,-0.00603028236473691
"25","2 weeks","Spike+ Mem B","FWR3",-0.876291483475643,-0.940731619702947,-0.825026648252465,-1.31006316905768e-14
"26","4 weeks","Spike+ Mem B","FWR1",NA,NA,NA,NA
"27","4 weeks","Spike+ Mem B","CDR1",-0.000732509641707975,-0.0962553798223107,0.0838946701708819,-0.492340730432302
"28","4 weeks","Spike+ Mem B","FWR2",-0.62561394274528,-0.732124021141717,-0.529286373012999,-1.37667655053519e-14
"29","4 weeks","Spike+ Mem B","CDR2",-0.0783824741650083,-0.170954331616021,0.00351204793065927,-0.0413330421805153
"30","4 weeks","Spike+ Mem B","FWR3",-0.669492834911396,-0.72633820252444,-0.626081417791073,-4.52970994047064e-14
