"","ab_target","time_point","region","baseline_sigma","baseline_ci_lower","baseline_ci_upper","baseline_ci_pvalue"
"1","Non-Spike B","1 baseline","FWR1",NA,NA,NA,NA
"2","Non-Spike B","1 baseline","CDR1",-0.100855821117812,-0.13967503038479,-0.0760175181958991,-6.53030840513935e-09
"3","Non-Spike B","1 baseline","FWR2",-0.456173608269896,-0.497383000929439,-0.428097684336408,-1.40998324127395e-14
"4","Non-Spike B","1 baseline","CDR2",-0.0287518217460736,-0.0677827155503046,-0.00637232688210142,-0.0455779480016071
"5","Non-Spike B","1 baseline","FWR3",-0.551289104773391,-0.578952049565777,-0.537869188724139,-1.63202784619898e-14
"6","Non-Spike B","2 weeks","FWR1",NA,NA,NA,NA
"7","Non-Spike B","2 weeks","CDR1",-0.104713992560183,-0.146350452588111,-0.0770400318175468,-1.11351533549353e-08
"8","Non-Spike B","2 weeks","FWR2",-0.449674831264126,-0.490269380137499,-0.41941666820971,-2.89768209427166e-14
"9","Non-Spike B","2 weeks","CDR2",-0.0391061587785513,-0.0789849299596848,-0.0156259103002639,-0.0140296842273514
"10","Non-Spike B","2 weeks","FWR3",-0.604833542077615,-0.635116298397772,-0.588362779782441,-2.68673971959288e-14
"11","Non-Spike B","4 weeks","FWR1",NA,NA,NA,NA
"12","Non-Spike B","4 weeks","CDR1",-0.119082284622273,-0.158601215687052,-0.089683170677641,-1.24213972441112e-11
"13","Non-Spike B","4 weeks","FWR2",-0.488019924900174,-0.532972538460882,-0.457256302224861,-2.53130849614536e-14
"14","Non-Spike B","4 weeks","CDR2",-0.0746189300599369,-0.114839023219236,-0.0479654335805835,-1.09856499916905e-05
"15","Non-Spike B","4 weeks","FWR3",-0.551963866538027,-0.580624704581106,-0.537169966546732,-2.35367281220533e-14
"16","Spike+ Mem B","1 baseline","FWR1",NA,NA,NA,NA
"17","Spike+ Mem B","1 baseline","CDR1",-0.000511756235070622,-0.131694888078085,0.121977874474799,-0.494806182822892
"18","Spike+ Mem B","1 baseline","FWR2",-0.203482544436977,-0.354509187379034,-0.0629161531205189,-0.00357755537906979
"19","Spike+ Mem B","1 baseline","CDR2",-0.258547868634988,-0.382422525029246,-0.144770239857516,-1.62936493129928e-05
"20","Spike+ Mem B","1 baseline","FWR3",-0.78253613443027,-0.862906807422643,-0.714967023348979,-4.9960036108132e-15
"21","Spike+ Mem B","2 weeks","FWR1",NA,NA,NA,NA
"22","Spike+ Mem B","2 weeks","CDR1",-0.0366101536473059,-0.149725439003093,0.0658142257591853,-0.254982143127712
"23","Spike+ Mem B","2 weeks","FWR2",-0.498857178511326,-0.626412517327327,-0.383117767644178,-5.340172748447e-14
"24","Spike+ Mem B","2 weeks","CDR2",-0.125417350190324,-0.235417012489686,-0.0261749032301597,-0.0102224653524092
"25","Spike+ Mem B","2 weeks","FWR3",-0.876839654002952,-0.941573925663588,-0.825370668074496,-1.13242748511766e-14
"26","Spike+ Mem B","4 weeks","FWR1",NA,NA,NA,NA
"27","Spike+ Mem B","4 weeks","CDR1",-0.00719121915392836,-0.104827093536503,0.0807525673024752,-0.438505843046543
"28","Spike+ Mem B","4 weeks","FWR2",-0.60894392729086,-0.717113592787717,-0.513308563701054,-1.4210854715202e-14
"29","Spike+ Mem B","4 weeks","CDR2",-0.0783911510441968,-0.173239274518301,0.00482840342347816,-0.0449101697331945
"30","Spike+ Mem B","4 weeks","FWR3",-0.653650482984124,-0.709679925675505,-0.608401188047179,-1.0769163338864e-14
